_id,desc_distrito_local,desc_barrio_local,Nombre,desc_situacion_terraza,desc_ubicacion_terraza
1148,SALAMANCA           ,LISTA               ,SOBRE VINO,Abierta,Acera
1150,CENTRO              ,EMBAJADORES         ,BAISAKHI,Abierta,Acera
1151,CENTRO              ,SOL                 ,URBAN MADRID CAFE,Abierta,Plaza peatonal
1152,CENTRO              ,CORTES              ,LA BOMBILLA,Abierta,Plaza con bandas permanentes de circulaci? rodada
1154,SALAMANCA           ,LISTA               ,LA CASSETA,Abierta,Acera
1155,SALAMANCA           ,CASTELLANA          ,MILFORD,Abierta,Bulevar
1157,SALAMANCA           ,RECOLETOS           ,NO SOLICITADO,Abierta,Acera
1160,CENTRO              ,EMBAJADORES         ,RETAPAS,Abierta,Plaza peatonal
1161,CENTRO              ,SOL                 ,HOTEL INTUR PALACIO DE SAN MARTIN                 ,Abierta,Plaza peatonal
1162,CENTRO              ,PALACIO             ,RESTAURANTE LOS ARRIEROS,Abierta,Calle peatonal
1163,CENTRO              ,JUSTICIA            ,PASTELERIA MANOLO CAFETERIA,Abierta,Acera
1164,CENTRO              ,SOL                 ,LLAO LLAO,Abierta,Calle peatonal
1168,FUENCARRAL-EL PARDO ,VALVERDE            ,RESTAURANTE DOMIN?,Abierta,Superficie en parcela privada
1169,LATINA              ,ALUCHE              ,CASTILLO 100,Abierta,Acera
1171,CENTRO              ,UNIVERSIDAD         ,PIZZERIA SANDOS,Abierta,Plaza peatonal
1172,CENTRO              ,UNIVERSIDAD         ,CAFE MALABAR,Abierta,Plaza peatonal
1173,CENTRO              ,UNIVERSIDAD         ,PIZZERIA MARAVILLAS,Abierta,Plaza peatonal
1174,VILLA DE VALLECAS   ,CASCO H.VALLECAS    ,BAR EL RINC?N DE TOMY,Abierta,Acera
1175,ARGANZUELA          ,IMPERIAL            ,HELADER?A,Abierta,Acera
1176,SALAMANCA           ,CASTELLANA          ,O'CLOCK,Abierta,Bulevar
1177,ARGANZUELA          ,ACACIAS             ,RESTAURANTE OBOI PARRILLA,Abierta,Acera
1179,CENTRO              ,UNIVERSIDAD         ,STARBUCKS,Abierta,Acera
1180,CENTRO              ,CORTES              ,HOTEL CATALONIA GRAN VIA Y RTE. LA PEDRERA,Abierta,Acera
1181,CENTRO              ,UNIVERSIDAD         ,STRAWBERRY FIELDS,Abierta,Acera
1182,CENTRO              ,EMBAJADORES         ,CAFE DUQUE DE ALBA,Abierta,Plaza peatonal
1183,CENTRO              ,SOL                 ,R?TULO NO INFORMADO,Abierta,Calle peatonal
1184,CENTRO              ,CORTES              ,ESPA?A CA?I,Abierta,Acera
1185,FUENCARRAL-EL PARDO ,EL GOLOSO           ,FOREMAN,Abierta,Acera
1187,FUENCARRAL-EL PARDO ,LA PAZ              ,CAFETERIA FRANCIS,Abierta,Acera
1189,CENTRO              ,UNIVERSIDAD         ,VILLA VERIN,Abierta,Acera
1190,CENTRO              ,UNIVERSIDAD         ,EL RINCON,Abierta,Acera
1191,CENTRO              ,UNIVERSIDAD         ,TABERNA LA LIRIO,Abierta,Acera
1194,CENTRO              ,EMBAJADORES         ,RODILLA,Abierta,Plaza peatonal
1195,CENTRO              ,SOL                 ,ABADIA ,Abierta,Acera
1196,CENTRO              ,EMBAJADORES         ,LA ESTRECHA DE LAVAPIES,Abierta,Acera
1197,CENTRO              ,JUSTICIA            ,CAFETERIA VERDOY,Abierta,Plaza peatonal
1199,CENTRO              ,JUSTICIA            ,LA CHUEQUITA,Abierta,Plaza peatonal
1200,CENTRO              ,SOL                 ,EL BOQUERON,Abierta,Acera
1201,CENTRO              ,CORTES              ,LAS BRAVAS,Abierta,Acera
1203,CENTRO              ,UNIVERSIDAD         ,MUSEO DEL JAMON,Abierta,Acera
1204,CENTRO              ,UNIVERSIDAD         ,FRIDAYS,Abierta,Acera
1205,CENTRO              ,UNIVERSIDAD         ,HOTEL SENATOR ESPA?A,Abierta,Acera
1206,CENTRO              ,EMBAJADORES         ,TABERNA LA MANCHA EN MADRID,Abierta,Acera
1208,CENTRO              ,CORTES              ,CAFE BAR RODA,Abierta,Acera
1209,CENTRO              ,CORTES              ,PERICO,Abierta,Plaza peatonal
1212,CENTRO              ,PALACIO             ,RODILLA,Abierta,Acera
1214,CENTRO              ,UNIVERSIDAD         ,LA TAQUERIA DE BIRRA,Abierta,Plaza peatonal
1215,CENTRO              ,EMBAJADORES         ,LAP CAFE,Abierta,Acera
1216,CENTRO              ,PALACIO             ,THE CAVERN,Abierta,Acera
1217,CENTRO              ,JUSTICIA            ,EL MERCADO DE LA REINA,Abierta,Acera
1218,CENTRO              ,PALACIO             ,DI BOCCA RESTAURANTE ITALIANO,Abierta,Acera
1220,CENTRO              ,UNIVERSIDAD         ,CAFFE DEL ARTE,Abierta,Acera
1221,CENTRO              ,CORTES              ,CERVECERIA LA ABUELA,Abierta,Acera
1222,CENTRO              ,SOL                 ,RESTAURANTE EL SOPORTAL,Abierta,Plaza peatonal
1223,CENTRO              ,PALACIO             ,EL VENTORRILLO,Abierta,Acera
1224,CENTRO              ,CORTES              ,CAFE Y TAPAS,Abierta,Plaza con bandas permanentes de circulaci? rodada
1225,CENTRO              ,CORTES              ,O'CACHO DO JOSE,Abierta,Plaza peatonal
1226,CENTRO              ,SOL                 ,CAFE Y TAPAS,Abierta,Calle peatonal
1227,CENTRO              ,JUSTICIA            ,LA TERRAZA D'MYSTIC,Abierta,Plaza peatonal
1228,CENTRO              ,JUSTICIA            ,TABERNA  JOSE LUIS,Abierta,Plaza peatonal
1229,CENTRO              ,EMBAJADORES         ,SHAPLA INDIAN RESTAURANTE,Abierta,Acera
1232,CENTRO              ,PALACIO             ,FREDDO FREDDO (EXPOSITOR DE HELADOS),Abierta,Plaza peatonal
1234,CENTRO              ,SOL                 ,LATA TAPA,Abierta,Calle peatonal
1235,CENTRO              ,CORTES              ,JINODE,Abierta,Acera
1236,CENTRO              ,EMBAJADORES         ,CAFE TABERNA ALABANDA,Abierta,Acera
1237,MONCLOA-ARAVACA     ,ARAVACA             ,LA CA?ER?A,Abierta,Acera
1238,SALAMANCA           ,CASTELLANA          ,RESTAURANTE CRUZ CAFE,Abierta,Acera
1239,SALAMANCA           ,FUENTE DEL BERRO    ,LA TABERNA DEL PINTOR,Abierta,Acera
1242,SALAMANCA           ,RECOLETOS           ,LA LLAVE DE ORO CAFETERIA,Abierta,Acera
1243,SALAMANCA           ,LISTA               ,LA TAGLIATELLA,Abierta,Acera
1244,CARABANCHEL         ,VISTA ALEGRE        ,CAFETERIA FLORES,Abierta,Acera
1245,ARGANZUELA          ,ACACIAS             ,BAR SALSERIA,Abierta,Acera
1246,CENTRO              ,PALACIO             ,FOSTER'S HOLLYWOOD                                  ,Abierta,Plaza con bandas permanentes de circulaci? rodada
1249,VILLA DE VALLECAS   ,CASCO H.VALLECAS    ,LOS MANCHEGOS,Abierta,Acera
1250,SAN BLAS-CANILLEJAS ,ARCOS               ,BURGOS CERVECERIA,Abierta,Acera
